season,gw,code,pos,minutes,xG,xA,dc,saves,goals,assists,total_points,clean_sheet,bonus,yellow
2026-27,1,206915,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,207189,MID,72,0.03,0.03,4,0,0,0,2,0,0,0
2026-27,1,207283,MID,66,0.08,0.34,5,0,0,1,6,1,0,0
2026-27,1,208481,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,208706,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,209036,DEF,90,0.89,0.32,4,0,1,0,10,0,2,0
2026-27,1,209046,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,209244,MID,81,0.12,0.4,6,0,0,0,1,0,0,1
2026-27,1,209289,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,209365,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,209400,MID,90,0.0,0.27,14,0,0,0,3,0,0,1
2026-27,1,210156,FWD,20,0.0,0.0,1,0,0,0,1,0,0,0
2026-27,1,210462,MID,90,0.03,0.01,6,0,0,0,2,0,0,0
2026-27,1,212314,MID,90,0.0,0.02,6,0,0,1,5,0,0,0
2026-27,1,212319,FWD,67,0.0,0.0,1,0,0,0,2,0,0,0
2026-27,1,213292,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,214225,DEF,90,0.03,0.06,7,0,0,0,6,1,0,0
2026-27,1,214285,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,214572,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,215059,GK,90,0.0,0.01,0,4,0,0,2,0,0,0
2026-27,1,215136,DEF,90,0.0,0.02,6,0,0,0,2,0,0,0
2026-27,1,215379,MID,62,0.0,0.25,6,0,0,0,2,0,0,0
2026-27,1,215413,MID,90,0.12,0.17,8,0,1,0,11,1,3,0
2026-27,1,215711,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,216051,DEF,10,0.0,0.0,3,0,0,0,1,0,0,0
2026-27,1,216055,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,216094,DEF,90,0.01,0.09,2,0,0,0,0,0,0,1
2026-27,1,216616,DEF,90,0.0,0.16,18,0,0,0,4,0,0,0
2026-27,1,216646,FWD,90,1.0,0.02,8,0,0,1,4,0,0,1
2026-27,1,218364,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,218997,FWD,69,0.0,0.01,3,0,0,0,2,0,0,0
2026-27,1,219168,FWD,90,1.09,0.01,1,0,0,0,2,0,0,0
2026-27,1,219249,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,219847,FWD,90,0.26,0.03,2,0,1,0,6,1,0,0
2026-27,1,219924,DEF,90,0.0,0.01,5,0,0,0,2,0,0,0
2026-27,1,220237,DEF,90,0.0,0.01,10,0,0,0,3,0,0,0
2026-27,1,220362,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
